shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_rate_history_mv_refresh.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the PORTAL MATERIALIZED VIEWS used in Web Portal Packages/MV's.
edw_grp_rebuild_index_rpt_claim_dtl_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIM_DTL_R,,False,,,,,This shell script rebuild the unusable index for RPT_CLAIM_DTL_R.
edw_grp_rebuild_index_rpt_claim_note_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIM_NOTE_R,,False,,,,,This shell script calls the procedure PROC_REBUILD_INDEXES_RPT_CLAIM_NOTE_R.
edw_grp_rebuild_index_rpt_claim_payment_dtl_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIM_PAYMENT_DTL_R,,False,,,,,This shell script rebuilds unusable indexes for table RPT_CLAIM_PAYMENT_DTL_R.
edw_grp_rebuild_index_rpt_claim_payment_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIM_PAYMENT_R,,False,,,,,This shell script rebuilds the unusable index for table RPT_CLAIM_PAYMENT_R.
edw_grp_rebuild_index_rpt_claim_task_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIM_TASK_R,,False,,,,,This shell script calls the procedure PROC_REBUILD_INDEXES_RPT_CLAIM_TASK_R.
edw_grp_rebuild_index_rpt_claimant_dtl_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REBUILD_INDEXES_RPT_CLAIMANT_DTL_R,,False,,,,,This shell script rebuilds unusable indexes for table RPT_CLAIMANT_DTL_R.
edw_grp_rebuild_unusable_indexes.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_REBUILD_UNUSABLE_INDEXES,,False,,,,,This shell script calls procedure which rebuild the unusable indexes agaisnt the given table.
edw_grp_refresh_claim_note_tier_mv.sh,MV_REFRESH,MATERIALIZED_VIEW,,CLAIM_NOTE_TIER_MV,DBMS_MVIEW.REFRESH,False,,CLAIM_NOTE_TIER_MV,,,This shell script refreshes CLAIM_NOTE_TIER_MV
edw_grp_refresh_ncate_load_f_psr_claim_cov_status_mv_tbl.sh.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRCS_CREATEBKP_TABLES,,False,,FCT_RPT_EOI_HISTORY_R,,,This shell script drop bkp tables and creates bkp tables using actual tables
